run_id,epoch,train_loss,test_loss,auc,f1,top1_acc,top5_acc
cifar100_ep15_bs128_lr0.1_drop0_wd1e-05_devicemps,15,0.017097207617759704,0.02243729965686798,0.9284364343434344,0.3236565430580816,0.3318,0.6265
cifar100_ep15_bs128_lr0.4_drop0_wd0_devicemps,14,0.01778072651386261,0.02508926811218262,0.9150557626262628,0.28973972587544605,0.2986,0.5914
cifar100_ep15_bs128_lr0.4_drop0_wd1e-05_devicemps,9,0.020739347381591798,0.023222526907920836,0.9141946666666665,0.2768356891202389,0.2844,0.5885
cifar100_ep60_bs128_lr0.2_drop0_wd0_devicemps,25,0.012905794073343278,0.027356126379966737,0.9263473636363636,0.3265955310950471,0.3321,0.631
cifar100_ep60_bs128_lr0.2_drop0_wd1e-05_devicemps,20,0.01374458720445633,0.025122799515724183,0.9272165555555556,0.3319444352148586,0.3381,0.6407
cifar100_ep60_bs128_lr0.2_drop0_wd0.0001_devicemps,14,0.016152825407981873,0.022554850435256957,0.9274259393939395,0.33105821962895077,0.3423,0.6355
cifar100_ep60_bs128_lr0.2_drop0_wd0.001_devicemps,16,0.016546297256946563,0.02145601849555969,0.9312517878787878,0.34070404946925054,0.3531,0.6485
cifar100_ep60_bs128_lr0.2_drop0_wd0.01_devicemps,52,0.023924842004776,0.02476241252422333,0.9081676161616162,0.21867655582596815,0.244,0.5321
cifar100_ep60_bs128_lr0.4_drop0_wd0_devicemps,22,0.017310622181892395,0.025014121556282045,0.9134970909090909,0.2922477982519027,0.2975,0.5952
cifar100_ep60_bs128_lr0.4_drop0.1_wd1e-05_devicemps,56,0.018159387743473053,0.020194697332382203,0.9383994747474748,0.35166296402358777,0.3605,0.6587
cifar100_ep60_bs128_lr0.4_drop0.1_wd0.0001_devicemps,58,0.018407742557525635,0.019545537233352662,0.9419865757575756,0.3644073577011633,0.3724,0.6778
cifar100_ep60_bs128_lr0.4_drop0.2_wd1e-05_devicemps,57,0.021033637771606446,0.020482931065559387,0.9353226262626262,0.33963622644310454,0.3488,0.6546
cifar100_ep15_bs128_lr0.1_drop0_wd0_devicemps,15,0.017266799750328063,0.021990085768699645,0.9281405151515152,0.3182978208766474,0.328,0.6347
cifar100_ep15_bs128_lr0.1_drop0.1_wd0_devicemps,15,0.019905335083007812,0.02059119737148285,0.9316017878787878,0.3374868841242854,0.35,0.6489
cifar100_ep15_bs128_lr0.1_drop0.2_wd0_devicemps,15,0.021509115109443665,0.02119276204109192,0.9291668282828281,0.31371145439226883,0.3315,0.6308
cifar100_ep15_bs128_lr0.1_drop0_wd1e-05_devicemps,15,0.01755410346031189,0.021696490883827208,0.9274409393939393,0.3197552126650218,0.3317,0.6313
cifar100_ep15_bs128_lr0.1_drop0_wd0.0001_devicemps,15,0.017328155727386475,0.021829777455329893,0.9291971010101011,0.31991600220112554,0.3252,0.628
cifar100_ep15_bs128_lr0.1_drop0_wd0.001_devicemps,15,0.018360629155635834,0.021883645129203797,0.9271886868686867,0.3146299951874821,0.3257,0.6251
cifar100_ep15_bs128_lr0.1_drop0_wd0.01_devicemps,15,0.026300305104255677,0.02706011939048767,0.8669118686868686,0.17129902126568616,0.1929,0.4524
cifar100_ep15_bs128_lr0.4_drop0.1_wd0.0001_devicemps,15,0.023253280115127565,0.023960812020301817,0.9065709191919192,0.23888721682287892,0.2595,0.5439
cifar100_ep15_bs128_lr0.8_drop0.1_wd0.0001_devicemps,3,0.03603112436294555,0.03636189112663269,0.5537922222222224,0.001475292835128512,0.0138,0.0545
cifar100_ep15_bs128_lr1.6_drop0.1_wd0.0001_devicemps,1,0.03609839493751526,0.03640078592300415,0.5,0.00019801980198019803,0.01,0.05
cifar100_ep15_bs128_lr3.2_drop0.1_wd0.0001_devicemps,1,0.036068312902450564,0.03642885570526123,0.5,0.00019801980198019803,0.01,0.05
cifar100_ep15_bs128_lr0.5_drop0.1_wd0.0001_devicemps,3,0.03597811281204224,0.035941093254089354,0.6564100808080809,0.002580780452435925,0.0182,0.0762
cifar100_ep15_bs128_lr0.6_drop0.1_wd0.0001_devicemps,1,0.03595558453559875,0.036384782886505124,0.5326394747474748,0.00019801980198019803,0.01,0.05
cifar100_ep15_bs128_lr0.7_drop0.1_wd0.0001_devicemps,1,0.03600228497505188,0.03638496875762939,0.5345755808080809,0.00019801980198019803,0.01,0.05
cifar100_ep25_bs128_lr0.1_drop0.1_wd1e-05_devicemps,25,0.016706931965351106,0.01840985263586044,0.9480044646464647,0.39426757356256315,0.4041,0.7074
cifar100_ep25_bs128_lr0.2_drop0.1_wd1e-05_devicemps,23,0.01662680014848709,0.01973977389335632,0.9411894646464647,0.36679219168711924,0.3741,0.6753
cifar100_ep25_bs128_lr0.4_drop0.1_wd1e-05_devicemps,25,0.01982302566051483,0.02120485360622406,0.9300549292929291,0.3182987823743774,0.3291,0.6357
